№,Секунда,Микросекунда
1,6,157202
2,6,167272
3,6,177443
4,6,188357
5,6,198568
6,6,209540
7,6,220522
8,6,231478
9,6,241993
10,6,252959
11,6,263948
12,6,274983
13,6,285488
14,6,295538
15,6,306506
16,6,317496
17,6,328473
18,6,339577
19,6,350413
20,6,361402
21,6,372352
22,6,383356
23,6,394382
24,6,405865
25,6,416837
26,6,427806
27,6,438755
28,6,449715
29,6,460701
30,6,471650
31,6,482651
32,6,493670
33,6,503741
34,6,513836
35,6,524256
36,6,535116
37,6,546063
38,6,556175
39,6,566392
40,6,576495
41,6,587455
42,6,597725
43,6,608705
44,6,619687
45,6,629876
46,6,640651
47,6,651689
48,6,662592
49,6,673618
50,6,683728
51,6,694824
52,6,705444
53,6,715923
54,6,726403
55,6,737444
56,6,748341
57,6,759260
58,6,770221
59,6,781163
60,6,792140
61,6,803147
62,6,813927
63,6,824475
64,6,835300
65,6,846776
66,6,857704
67,6,868692
68,6,879640
69,6,890627
70,6,901585
71,6,912655
72,6,923583
73,6,934397
74,6,945142
75,6,956027
76,6,966341
77,6,976420
78,6,987428
79,6,997575
80,7,8647
81,7,19611
82,7,30648
83,7,41118
84,7,51308
85,7,62287
86,7,73103
87,7,83562
88,7,93722
89,7,104793
90,7,115363
91,7,126039
92,7,137251
93,7,148218
94,7,159122
95,7,169296
96,7,180305
97,7,190442
98,7,200584
99,7,210829
100,7,221778
101,7,232786
102,7,243148
103,7,253228
104,7,263388
105,7,274281
106,7,284576
107,7,295249
108,7,305453
109,7,316070
110,7,326707
111,7,336766
112,7,347130
113,7,357717
114,7,368543
115,7,379455
116,7,390444
117,7,400631
118,7,410963
119,7,421851
120,7,432804
121,7,443193
122,7,453421
123,7,463485
124,7,474400
125,7,484573
126,7,494681
127,7,504915
128,7,515008
129,7,525659
130,7,536014
131,7,546205
132,7,557160
133,7,567562
134,7,579140
135,7,589474
136,7,599711
137,7,610726
138,7,620802
139,7,631713
140,7,642665
141,7,653338
142,7,663568
143,7,674342
144,7,684669
145,7,694878
146,7,705732
147,7,716438
148,7,727360
149,7,737620
150,7,748337
151,7,759511
152,7,770452
153,7,781441
154,7,792580
155,7,802833
156,7,813802
157,7,824071
158,7,834574
159,7,844743
160,7,855566
161,7,866537
162,7,877489
163,7,888456
164,7,899603
165,7,910465
166,7,920729
167,7,931241
168,7,941911
169,7,952273
170,7,963298
171,7,973379
172,7,984410
173,7,994509
174,8,4645
175,8,15265
176,8,26061
177,8,36561
178,8,47494
179,8,58491
180,8,69663
181,8,80429
182,8,90580
183,8,100778
184,8,110870
185,8,121611
186,8,131762
187,8,141883
188,8,152921
189,8,163349
190,8,173422
191,8,184505
192,8,195117
193,8,205803
194,8,216031
195,8,226149
196,8,237068
197,8,247317
198,8,257774
199,8,267961
200,8,278798
201,8,289730
202,8,299831
203,8,310725
204,8,321699
205,8,332658
206,8,343634
207,8,354617
208,8,365116
209,8,375309
210,8,385399
211,8,395906
212,8,406458
213,8,416908
214,8,427908
215,8,437993
216,8,448145
217,8,458601
218,8,469530
219,8,480622
220,8,490802
221,8,501859
222,8,511979
223,8,522964
224,8,533155
225,8,544151
226,8,555198
227,8,565345
228,8,575783
229,8,586778
230,8,597324
231,8,608252
232,8,619280
233,8,630062
234,8,640161
235,8,651336
236,8,662268
237,8,673114
238,8,684090
239,8,694555
240,8,705130
241,8,715456
242,8,725638
243,8,735794
244,8,746123
245,8,756322
246,8,766508
247,8,777521
248,8,788515
249,8,798728
250,8,808935
251,8,819744
252,8,830700
253,8,841317
254,8,851416
255,8,862497
256,8,873398
257,8,884152
258,8,895123
259,8,905769
260,8,916181
261,8,927151
262,8,938082
263,8,948247
264,8,958374
265,8,968580
266,8,979017
267,8,990041
268,9,852
269,9,11760
270,9,22729
271,9,32879
272,9,43287
273,9,53447
274,9,63572
275,9,74653
276,9,85231
277,9,96170
278,9,107073
279,9,118367
280,9,129194
281,9,140239
282,9,151189
283,9,161255
284,9,171587
285,9,182454
286,9,192828
287,9,203802
288,9,214224
289,9,224924
290,9,235076
291,9,245387
292,9,255884
293,9,266424
294,9,277457
295,9,287617
296,9,297776
297,9,308764
298,9,319735
299,9,329925
300,9,340760
